id,name
35WVTyRnKAoaGExqgktVyb,Hotel Ugly
7I3bkknknQkIiatWiupQgD,Beach Weather
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
69bG9tC62d8oTFC9aTTosn,New West
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
5y8tKLUfMvliMe8IKamR32,d4vd
4j56EQDQu5XnL7R3E9iFJT,Young the Giant
3uwAm6vQy7kWPS2bciKWx9,girl in red
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
22y08IZx7u6SWpsfap1Cub,Rio Romeo
1gl0S9pS0Zw0qfa14rDD3D,Surf Curse
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic
6zO1dZ40fTZ5hY9NnnRJSk,yung kai
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
5p9HO3XC5P3BLxJs5Mtrhm,Djo
2feDdbD5araYcm6JhFHHw7,Labrinth
5nvWOyAkfNgVLKESq4fOj2,Montell Fish
1EmdfupUQDpXOcb4Nj2mBH,Chezile
7bXgB6jMjp9ATFy66eO08Z,Chris Brown
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
7eKkW1zo5uzW8kUntiiBvz,Malcolm Todd
3rWZHrfrsPBxVy692yAIxF,WILLOW
6PxIBIC6X6ABCIXnAgGUdc,dreamsoda
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
2mAYpnSe3g2Y22JcZ2ddku,Soap&Skin
56ZTgzPBDge0OvCGgMO3OY,Beach House
2PI9HrzzMTN7E5poWl4QX5,Elliot James Reay
5szilpXHcwOqnyKLqGco5j,Faye Webster
2h93pZq0e7k5yf4dywlkpM,Frank Ocean
0xliTEbFfy5HQHvsTknTkX,Alphaville
79bxUQsBIXO8nVLB9fYKf7,Modern Talking
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez
57vWImR43h4CaDao012Ofp,Steve Lacy
4dpARuHxo51G3z768sgnrY,Adele
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow
0oK5D6uPhGu4Jk2dbZfodU,Thee Sacred Souls
1z7b1Pr1rSlvWRzsW3HOrS,Russ
1U1el3k54VvEUzo3ybLPlM,Kali Uchis
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
5RCWMaArEntbkeWYVxCiFW,Everybody Loves an Outlaw
5INjqkS1o8h1imAzPqGZBb,Tame Impala
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
5arKwJZEvT5uKq4o0JfqR4,Isabel LaRosa
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
25jJ6vyXwTRa0e6XCcdR6U,Ari Abdul
5SXuuuRpukkTvsLuUknva1,Baby Keem
360IAlyVv4PCEVjgyMZrxK,Miguel
3TVXtAsR1Inumwj472S9r4,Drake
1QfpRUtH14JLoY6F6AYmwt,The Rare Occasions
5HK6QtizXJzCmoYTkvFRik,Ndotz
757aE44tKEUQEqRuT6GnEB,Roddy Ricch
1RyvyyTE3xzB2ZywiAwp0i,Future
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
4Gso3d4CscCijv0lmajZWs,Don Toliver
1URnnhqYAYcrqrcwql10ft,21 Savage
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
7A8S43ryYdbWpJKeHRZRcq,JACKBOYS
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd
2hlmm7s2ICUX0LVIhVFlZQ,Gunna
5H4yInM5zmHqpKIoMNAx4r,Central Cee
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
6Ip8FS7vWT1uKkJSweANQK,Dave
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z
3qiHUAX7zY4Qnjx8TNUzVx,Yeat
6icQOAFXDZKsumw3YXyusw,Lil Yachty
55Aa2cqylxrFIXC767Z865,Lil Wayne
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
4xPQFgDA5M2xa0ZGo5iIsv,¥$
