id,playlist_id,artist_id,album_id,name
3hxIUxnT27p5WcmjGUXNwx,2geTIz7tYRniRcvdbLj0XW,35WVTyRnKAoaGExqgktVyb,4qVzNqB4cskFInYfrC7P0S,Shut up My Moms Calling
7DbdUf8aHSYoliSjO6LZv6,2geTIz7tYRniRcvdbLj0XW,7I3bkknknQkIiatWiupQgD,1xz1n7gyY02veDxH50SQHQ,"Sex, Drugs, Etc."
5FVd6KXrgO9B3JPmC8OPst,2geTIz7tYRniRcvdbLj0XW,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu,Do I Wanna Know?
0BxE4FqsDD1Ot4YuBXwAPp,2geTIz7tYRniRcvdbLj0XW,7Ln80lUS6He07XvHI8qqHH,1XkGORuUX2QGOEIL4EbJKm,505
5XeFesFbtLpXzIVDNQP22n,2geTIz7tYRniRcvdbLj0XW,7Ln80lUS6He07XvHI8qqHH,78bpIziExqiI9qztvNFlQu,I Wanna Be Yours
2psRActEWsTlYYd7EDoyVR,2geTIz7tYRniRcvdbLj0XW,69bG9tC62d8oTFC9aTTosn,6I5Pf71uQzQC0IcJOrh8Rz,Those Eyes
7D0RhFcb3CrfPuTJ0obrod,2geTIz7tYRniRcvdbLj0XW,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Sparks
2KhrPRV0V1FS2l4eQMJUWt,2geTIz7tYRniRcvdbLj0XW,1QAJqy2dA3ihHBFIHRphZj,5chTLnnxlxQVAgEv6YbEBe,Sweet
0yuAWlxq59xT3agQ965OxE,2geTIz7tYRniRcvdbLj0XW,1QAJqy2dA3ihHBFIHRphZj,5chTLnnxlxQVAgEv6YbEBe,Sunsetz
1xK59OXxi2TAAAbmZK0kBL,2geTIz7tYRniRcvdbLj0XW,5y8tKLUfMvliMe8IKamR32,4B3FsNFguOEJ4TWEsct83B,Romantic Homicide
77KnJc8o5G1eKVwX5ywMeZ,2geTIz7tYRniRcvdbLj0XW,4j56EQDQu5XnL7R3E9iFJT,2Xp4fbuZF8UNC3b774j7zE,Mind Over Matter (Reprise)
6IPwKM3fUUzlElbvKw2sKl,2geTIz7tYRniRcvdbLj0XW,3uwAm6vQy7kWPS2bciKWx9,7vud0sY43VTv28MbWiglDa,we fell in love in october
5Y6nVaayzitvsD5F7nr3DV,2geTIz7tYRniRcvdbLj0XW,00FQb4jTyendYWaN8pK0wa,1ORxRsK3MrSLvh7VQTF01F,West Coast
1oAwsWBovWRIp7qLMGPIet,2geTIz7tYRniRcvdbLj0XW,1QAJqy2dA3ihHBFIHRphZj,5chTLnnxlxQVAgEv6YbEBe,Apocalypse
2xGjfbXZnI8uQDhukoQURQ,2geTIz7tYRniRcvdbLj0XW,1QAJqy2dA3ihHBFIHRphZj,5chTLnnxlxQVAgEv6YbEBe,K.
6GGtHZgBycCgGBUhZo81xe,2geTIz7tYRniRcvdbLj0XW,00FQb4jTyendYWaN8pK0wa,6jVg0POvGYH1Pt6lISl3ok,Say Yes To Heaven
0EF1EE8zusg3Y869e56JFd,2geTIz7tYRniRcvdbLj0XW,22y08IZx7u6SWpsfap1Cub,3fIxJzinc2MADbgfkLrmYY,Nothing's New
7EkWXAI1wn8Ii883ecd9xr,2geTIz7tYRniRcvdbLj0XW,1gl0S9pS0Zw0qfa14rDD3D,5WjaIWthUR3AjA0UYG3jR5,Freaks
3M0lSi5WW79CXQamgSBIjx,2geTIz7tYRniRcvdbLj0XW,7cYEt1pqMgXJdq00hAwVpT,7C8uqokvE67UOlu1TiEYMd,Swim
4HwDCXsMBC7SUdp2WT4MZP,2geTIz7tYRniRcvdbLj0XW,7cYEt1pqMgXJdq00hAwVpT,7C8uqokvE67UOlu1TiEYMd,Into It
6nek1Nin9q48AVZcWs9e9D,2geTIz7tYRniRcvdbLj0XW,4gzpq5DPGxSnKTe4SA8HAU,2R7iJz5uaHjLEVnMkloO18,Paradise
0FDzzruyVECATHXKHFs9eJ,2geTIz7tYRniRcvdbLj0XW,4gzpq5DPGxSnKTe4SA8HAU,2G4AUqfwxcV1UdQjm2ouYr,A Sky Full of Stars
3AJwUDP919kvQ9QcozQPxg,2geTIz7tYRniRcvdbLj0XW,4gzpq5DPGxSnKTe4SA8HAU,6ZG5lRT77aJ3btmArcykra,Yellow
3be9ACTxtcL6Zm4vJRUiPG,2geTIz7tYRniRcvdbLj0XW,6zO1dZ40fTZ5hY9NnnRJSk,5aelly3dAJd7yZlgUHpLBw,blue
5LrN7yUQAzvthd4QujgPFr,2geTIz7tYRniRcvdbLj0XW,5y8tKLUfMvliMe8IKamR32,3rrrTOHiXGzuW4FP7t0O1A,Here With Me
3hRV0jL3vUpRrcy398teAU,2geTIz7tYRniRcvdbLj0XW,6ltzsmQQbmdoHHbLZ4ZN25,4sD1qg4jwTZR4mvR4Iflk5,The Night We Met
2QjOHCTQ1Jl3zawyYOpxh6,2geTIz7tYRniRcvdbLj0XW,77SW9BnxLY8rJ0RciFqkHh,4xkM0BwLM9H2IUcbYzpcBI,Sweater Weather
1tuSpba0RXUMubHpAOWlMN,2geTIz7tYRniRcvdbLj0XW,5y8tKLUfMvliMe8IKamR32,3rrrTOHiXGzuW4FP7t0O1A,You and I
7dJYggqjKo71KI9sLzqCs8,2geTIz7tYRniRcvdbLj0XW,5cj0lLjcoR7YOSnhnX0Po5,6DmPNcfpkXBVRJsEIJY9tl,Agora Hills
3qhlB30KknSejmIvZZLjOD,2geTIz7tYRniRcvdbLj0XW,5p9HO3XC5P3BLxJs5Mtrhm,4JDXBZdRPId4devseaAOKH,End of Beginning
6EtKlIQmGPB9SX8UjDJG5s,2geTIz7tYRniRcvdbLj0XW,2feDdbD5araYcm6JhFHHw7,788r22Bhr3IHLTNPy8pZea,Formula
0JzG1wJuB4v9UPkSE7LMXi,2geTIz7tYRniRcvdbLj0XW,5nvWOyAkfNgVLKESq4fOj2,0ykf7jcx3yY49RpkIO1byF,Hotel
5e0b9LgOfi3aJSKXFcOWRe,2geTIz7tYRniRcvdbLj0XW,1EmdfupUQDpXOcb4Nj2mBH,3sgTZuoyovg4bR5iTgQoo3,Beanie
5IgjP7X4th6nMNDh4akUHb,2geTIz7tYRniRcvdbLj0XW,7bXgB6jMjp9ATFy66eO08Z,3okhA6w5uau6ZNhnVpwVww,Under The Influence
5xdVqHtFS0eLuNp4Z8Wbpa,2geTIz7tYRniRcvdbLj0XW,0C8ZW7ezQVs4URX5aX7Kqx,3Kbuu2tHsIbplFUkB7a5oE,Good For You
3gPYoFtn70aTgl546XVSET,2geTIz7tYRniRcvdbLj0XW,7eKkW1zo5uzW8kUntiiBvz,5LmuMAA2Qk4SDbdFK5kvnJ,Chest Pain (I Love)
5e08a8D8T3z4LDXbUIjxKQ,2geTIz7tYRniRcvdbLj0XW,3rWZHrfrsPBxVy692yAIxF,0oFPwpDPEsrIYoeGZLFQUv,Wait a Minute!
1HaKBMwoi3BoYCvjSLiFzT,2geTIz7tYRniRcvdbLj0XW,6PxIBIC6X6ABCIXnAgGUdc,4NERW1YTPp7fB6qzlLUUGy,Good For You x One Of The Girls
